month,carrier,origin,arr_delay
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,8
1,AA,LGA,14
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,29
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,162
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,15
1,UA,EWR,0
1,UA,LGA,50
1,UA,LGA,0
1,AA,LGA,33
1,AA,LGA,0
1,UA,EWR,49
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,1
1,AA,LGA,0
1,UA,EWR,6
1,UA,LGA,1
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,1
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,33
1,UA,EWR,21
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,28
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,46
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,121
1,AA,LGA,0
1,AA,LGA,4
1,UA,EWR,9
1,UA,LGA,7
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,8
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,60
1,AA,LGA,0
1,AA,LGA,14
1,UA,EWR,4
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,25
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,12
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,NA
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,26
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,7
1,AA,LGA,18
1,AA,LGA,15
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,3
1,UA,EWR,0
1,AA,LGA,19
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,3
1,AA,LGA,21
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,18
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,71
1,UA,EWR,3
1,AA,LGA,0
1,UA,EWR,5
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,9
1,AA,LGA,0
1,UA,EWR,9
1,AA,LGA,28
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,394
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,36
1,UA,EWR,7
1,AA,LGA,0
1,UA,LGA,7
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,13
1,AA,LGA,0
1,UA,LGA,NA
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,8
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,16
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,17
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,3
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,1
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,21
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,UA,LGA,22
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,NA
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,14
1,UA,EWR,24
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,18
1,UA,EWR,0
1,AA,LGA,20
1,UA,EWR,4
1,AA,LGA,12
1,AA,LGA,2
1,UA,EWR,17
1,UA,EWR,0
1,AA,LGA,31
1,AA,LGA,26
1,UA,LGA,NA
1,AA,LGA,0
1,AA,LGA,32
1,AA,LGA,22
1,UA,EWR,4
1,UA,LGA,25
1,UA,EWR,0
1,AA,LGA,10
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,25
1,AA,LGA,0
1,UA,LGA,14
1,AA,LGA,5
1,AA,LGA,14
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,7
1,UA,LGA,15
1,UA,EWR,12
1,UA,EWR,8
1,AA,LGA,28
1,UA,EWR,9
1,UA,LGA,5
1,AA,LGA,25
1,UA,LGA,7
1,AA,LGA,0
1,UA,EWR,62
1,UA,EWR,0
1,AA,LGA,3
1,UA,LGA,31
1,AA,LGA,1
1,AA,LGA,0
1,AA,LGA,3
1,AA,LGA,0
1,UA,EWR,2
1,UA,LGA,21
1,AA,LGA,6
1,UA,EWR,0
1,AA,LGA,10
1,UA,EWR,7
1,UA,LGA,0
1,AA,LGA,10
1,AA,LGA,6
1,AA,LGA,1
1,UA,EWR,1
1,UA,EWR,1
1,UA,LGA,0
1,AA,LGA,28
1,AA,LGA,8
1,UA,LGA,23
1,UA,EWR,39
1,AA,LGA,18
1,UA,LGA,3
1,UA,EWR,31
1,AA,LGA,18
1,UA,EWR,187
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,44
1,AA,LGA,38
1,AA,LGA,44
1,UA,LGA,44
1,UA,EWR,23
1,UA,EWR,9
1,AA,LGA,7
1,AA,LGA,59
1,UA,LGA,39
1,AA,LGA,14
1,UA,LGA,19
1,UA,EWR,94
1,AA,LGA,7
1,UA,EWR,37
1,AA,LGA,45
1,UA,EWR,0
1,AA,LGA,20
1,UA,LGA,2
1,UA,EWR,0
1,UA,EWR,3
1,AA,LGA,58
1,AA,LGA,0
1,UA,LGA,58
1,AA,LGA,10
1,AA,LGA,33
1,UA,EWR,20
1,UA,EWR,94
1,UA,LGA,113
1,AA,LGA,0
1,UA,LGA,79
1,UA,EWR,NA
1,AA,LGA,11
1,AA,LGA,4
1,AA,LGA,11
1,UA,LGA,0
1,UA,EWR,15
1,AA,LGA,0
1,UA,EWR,3
1,AA,LGA,7
1,UA,EWR,10
1,UA,LGA,18
1,AA,LGA,6
1,UA,LGA,7
1,AA,LGA,18
1,UA,EWR,0
1,AA,LGA,16
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,2
1,UA,EWR,0
1,UA,EWR,3
1,AA,LGA,1
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,9
1,UA,LGA,0
1,UA,EWR,28
1,AA,LGA,3
1,AA,LGA,39
1,UA,EWR,19
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,5
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,3
1,UA,LGA,0
1,AA,LGA,5
1,AA,LGA,4
1,AA,LGA,3
1,UA,EWR,0
1,UA,EWR,2
1,UA,LGA,0
1,UA,EWR,NA
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,7
1,UA,EWR,5
1,AA,LGA,24
1,UA,LGA,13
1,UA,EWR,20
1,AA,LGA,22
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,NA
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,3
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,12
1,AA,LGA,14
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,16
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,27
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,73
1,AA,LGA,2
1,UA,EWR,34
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,7
1,UA,EWR,11
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,56
1,UA,EWR,5
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,17
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,89
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,9
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,22
1,AA,LGA,76
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,35
1,UA,EWR,4
1,UA,LGA,0
1,AA,LGA,68
1,UA,EWR,25
1,UA,LGA,44
1,AA,LGA,29
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,29
1,AA,LGA,0
1,AA,LGA,4
1,AA,LGA,0
1,AA,LGA,5
1,UA,EWR,0
1,UA,LGA,0
1,UA,EWR,0
1,AA,LGA,12
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,5
1,AA,LGA,3
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,13
1,UA,EWR,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,5
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,16
1,AA,LGA,0
1,UA,EWR,7
1,AA,LGA,40
1,UA,EWR,17
1,AA,LGA,0
1,UA,LGA,69
1,UA,LGA,1
1,AA,LGA,28
1,AA,LGA,19
1,AA,LGA,4
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,2
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,21
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,3
1,AA,LGA,19
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,EWR,55
1,UA,LGA,9
1,AA,LGA,0
1,UA,LGA,29
1,AA,LGA,13
1,UA,EWR,38
1,UA,EWR,0
1,AA,LGA,2
1,AA,LGA,8
1,UA,LGA,162
1,UA,EWR,NA
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,14
1,UA,EWR,37
1,UA,LGA,24
1,AA,LGA,13
1,UA,EWR,51
1,AA,LGA,25
1,UA,LGA,8
1,UA,LGA,0
1,AA,LGA,1
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,40
1,UA,EWR,0
1,AA,LGA,18
1,UA,LGA,7
1,UA,EWR,1
1,UA,EWR,57
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,56
1,UA,LGA,13
1,AA,LGA,20
1,AA,LGA,4
1,UA,LGA,0
1,UA,EWR,142
1,AA,LGA,53
1,UA,EWR,NA
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,11
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,UA,EWR,58
1,UA,EWR,19
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,23
1,UA,EWR,18
1,UA,EWR,32
1,UA,EWR,41
1,AA,LGA,37
1,AA,LGA,38
1,AA,LGA,62
1,AA,LGA,50
1,UA,EWR,132
1,UA,EWR,95
1,AA,LGA,0
1,AA,LGA,NA
1,AA,LGA,NA
1,AA,LGA,NA
1,UA,EWR,NA
1,UA,EWR,NA
1,UA,LGA,NA
1,UA,EWR,NA
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,7
1,AA,LGA,0
1,UA,EWR,2
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,17
1,AA,LGA,0
1,AA,LGA,3
1,UA,EWR,11
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,12
1,AA,LGA,0
1,UA,EWR,41
1,UA,LGA,29
1,AA,LGA,0
1,UA,EWR,NA
1,AA,LGA,0
1,AA,LGA,25
1,UA,EWR,13
1,UA,LGA,5
1,AA,LGA,8
1,UA,EWR,0
1,AA,LGA,3
1,UA,EWR,0
1,UA,LGA,24
1,AA,LGA,33
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,54
1,UA,EWR,1
1,AA,LGA,NA
1,UA,LGA,NA
1,UA,EWR,42
1,AA,LGA,117
1,UA,EWR,42
1,AA,LGA,85
1,UA,LGA,137
1,AA,LGA,50
1,UA,LGA,81
1,UA,LGA,0
1,AA,LGA,57
1,UA,EWR,75
1,AA,LGA,0
1,UA,EWR,NA
1,AA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,UA,LGA,15
1,AA,LGA,40
1,UA,EWR,35
1,AA,LGA,14
1,UA,EWR,18
1,UA,LGA,2
1,AA,LGA,0
1,AA,LGA,40
1,UA,EWR,0
1,UA,EWR,0
1,AA,LGA,87
1,UA,LGA,10
1,UA,EWR,26
1,UA,EWR,26
1,AA,LGA,53
1,AA,LGA,38
1,UA,EWR,0
1,UA,EWR,22
1,UA,LGA,118
1,AA,LGA,43
1,AA,LGA,61
1,UA,LGA,28
1,AA,LGA,18
1,AA,LGA,NA
1,AA,LGA,NA
1,UA,LGA,NA
1,UA,EWR,NA
1,UA,LGA,NA
1,AA,LGA,0
1,AA,LGA,0
1,AA,LGA,0
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,0
1,AA,LGA,10
1,UA,EWR,0
1,UA,LGA,0
1,UA,EWR,130
1,AA,LGA,10
1,UA,LGA,1
1,AA,LGA,0
1,UA,EWR,38
1,UA,EWR,0
1,AA,LGA,0
1,UA,LGA,0
1,UA,EWR,13
1,AA,LGA,0
1,UA,EWR,14
1,UA,LGA,0
1,AA,LGA,0
1,UA,EWR,33
1,UA,EWR,60
1,AA,LGA,4
1,UA,EWR,47
1,AA,LGA,70
1,UA,LGA,156
1,UA,LGA,38
1,AA,LGA,58
1,AA,LGA,NA
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,32
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,1
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,1
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,7
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,11
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,5
10,AA,LGA,0
10,UA,EWR,8
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,4
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,76
10,UA,EWR,0
10,UA,LGA,16
10,AA,LGA,0
10,UA,LGA,5
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,11
10,UA,LGA,0
10,AA,LGA,7
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,2
10,AA,LGA,23
10,UA,EWR,34
10,UA,LGA,28
10,AA,LGA,49
10,AA,LGA,34
10,UA,EWR,14
10,UA,LGA,72
10,AA,LGA,65
10,AA,LGA,38
10,UA,EWR,0
10,UA,LGA,33
10,AA,LGA,24
10,UA,EWR,133
10,UA,EWR,38
10,AA,LGA,29
10,UA,LGA,54
10,AA,LGA,0
10,UA,LGA,20
10,AA,LGA,0
10,UA,LGA,16
10,UA,EWR,45
10,UA,EWR,17
10,AA,LGA,0
10,UA,LGA,2
10,AA,LGA,9
10,UA,EWR,75
10,AA,LGA,0
10,UA,LGA,100
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,8
10,AA,LGA,0
10,UA,EWR,1
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,4
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,3
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,11
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,25
10,UA,EWR,23
10,AA,LGA,36
10,UA,EWR,7
10,AA,LGA,23
10,UA,LGA,20
10,AA,LGA,42
10,AA,LGA,3
10,UA,LGA,147
10,UA,EWR,NA
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,2
10,AA,LGA,0
10,UA,EWR,3
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,NA
10,UA,LGA,31
10,UA,EWR,85
10,UA,EWR,111
10,AA,LGA,0
10,AA,LGA,8
10,UA,EWR,89
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,11
10,UA,EWR,3
10,AA,LGA,5
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,UA,EWR,0
10,AA,LGA,5
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,16
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,6
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,81
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,13
10,AA,LGA,25
10,UA,EWR,0
10,AA,LGA,157
10,UA,EWR,108
10,AA,LGA,96
10,UA,EWR,40
10,UA,LGA,80
10,AA,LGA,1
10,AA,LGA,103
10,UA,LGA,264
10,UA,EWR,118
10,UA,EWR,108
10,AA,LGA,34
10,UA,LGA,112
10,UA,LGA,66
10,UA,EWR,110
10,AA,LGA,56
10,UA,EWR,96
10,UA,LGA,106
10,AA,LGA,8
10,UA,LGA,81
10,UA,LGA,NA
10,AA,LGA,NA
10,AA,LGA,NA
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,2
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,10
10,UA,EWR,0
10,UA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,7
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,4
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,7
10,AA,LGA,0
10,UA,EWR,7
10,UA,EWR,0
10,UA,LGA,1
10,UA,EWR,0
10,AA,LGA,39
10,UA,LGA,6
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,LGA,5
10,AA,LGA,0
10,UA,LGA,12
10,UA,EWR,82
10,UA,LGA,28
10,AA,LGA,61
10,UA,EWR,NA
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,AA,LGA,0
10,AA,LGA,0
10,UA,EWR,0
10,UA,LGA,0
10,UA,EWR,10
10,UA,LGA,1
10,AA,LGA,0
10,AA,LGA,0
10,UA,LGA,0
10,UA,EWR,0
10,AA,LGA,0
10,UA,EWR,0
10,AA,LGA,9
10,UA,LGA,0
10,AA,LGA,0
10,UA,LGA,12
10,AA,LGA,0
10,UA,EWR,0
10,UA,EWR,35
